classification,avg_pnl,median_pnl,avg_size_usd,median_size_usd,avg_exec_price
Extreme Fear,34.53786207897196,0.0,5349.7318429906545,766.15,7054.795108183382
Extreme Greed,67.89286133909282,0.0,3112.2515645629123,500.05,6082.195864873021
Fear,54.2903996254993,0.0,7816.109930785776,735.96,14152.620221764171
Greed,42.74355948851957,0.0,5736.884375086974,555.0,13411.276343930602
Neutral,34.30771839807886,0.0,4782.732661465797,547.655,12393.692778601691
Unknown,7078.6656883333335,8057.245408000001,14778.143333333333,14798.105,2.6499333333333337
